province_th,province_en,region,rice_type,year,production,yield,area,area_planted,yield_planted,price,price_low,price_high,price_low_alt,price_high_alt,price_basis,source,source_title,source_url,source_note,source_date
สุราษฎร์ธานี,Surat Thani,south,white,2565,3875,304,12735,12735,304,0,,,,,,oae_stats_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2567 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://catalog.oae.go.th/dataset/ba103542-830f-418a-b614-9645ebbe1a93/resource/4d5d1421-bb3b-4635-a43d-f6167d619db1/download/fd747711b82231d4.pdf,"direct province row from OAE Agricultural Statistics 2024 Table 1.4, rice type = ข้าวเจ้าอื่นๆ",
สุราษฎร์ธานี,Surat Thani,south,white,2566,3363,293,11473,11473,293,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าอื่นๆ (other white rice, excl. glutinous & Pathum Thani 1)",
สุราษฎร์ธานี,Surat Thani,south,white,2567,3223,282,11415,11536,279,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าอื่นๆ (other white rice, excl. glutinous & Pathum Thani 1)",
สุราษฎร์ธานี,Surat Thani,south,white,2568,3297,296,11132,11177,295,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าอื่นๆ (other white rice, excl. glutinous & Pathum Thani 1)",2 มีนาคม 2569 (กรมการข้าว)
สุราษฎร์ธานี,Surat Thani,south,white,2569,2710,271,10016,10098,269,0,,,,,,estimated_trend,ประมาณการแนวโน้ม (avg YoY 2565–2567),,"Trend estimation: production×(1+-0.0849)^2, yield×(1+-0.0283)^2, area×(1+-0.0578)^2",
สุราษฎร์ธานี,Surat Thani,south,jasmine,2565,115,281,409,409,281,0,,,,,,oae_stats_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2567 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://catalog.oae.go.th/dataset/ba103542-830f-418a-b614-9645ebbe1a93/resource/4d5d1421-bb3b-4635-a43d-f6167d619db1/download/fd747711b82231d4.pdf,sum of OAE Agricultural Statistics 2024 Table 1.4 province rows: ข้าวเจ้าหอมมะลิในพื้นที่ + ข้าวเจ้าหอมมะลินอกพื้นที่,
สุราษฎร์ธานี,Surat Thani,south,jasmine,2566,100,272,368,368,272,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าหอมมะลิ (in-area + outside-area combined)",
สุราษฎร์ธานี,Surat Thani,south,jasmine,2567,61,269,227,227,269,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าหอมมะลิ (in-area + outside-area combined)",
สุราษฎร์ธานี,Surat Thani,south,jasmine,2568,42,280,150,150,280,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าหอมมะลิ (in-area + outside-area combined)",2 มีนาคม 2569 (กรมการข้าว)
สุราษฎร์ธานี,Surat Thani,south,jasmine,2569,80,256,314,314,256,0,,,,,,estimated_trend,ประมาณการแนวโน้ม (avg YoY 2565–2567),,"Trend estimation: production×(1+-0.0852)^2, yield×(1+-0.0234)^2, area×(1+-0.0637)^2",
